TAXON_ID_CH;CENTRE;GROUP;TAXON_ID;TAXON_NAME;PRIO;YEAR_min;YEAR_max;ALT_min;ALT_max;PREC_min;REGION;GUILD;GRP_WEIGHT;CIBLE
nism:2321;nism;BRYO;2321;Abietinella abietina (Hedw.) M.Fleisch.;;1984;NA;NA;NA;250;CH;15;0.2;1
nism:2321;nism;BRYO;2321;Abietinella abietina (Hedw.) M.Fleisch.;;1984;NA;NA;NA;250;CH;102;0.2;1
infofauna:22967;infofauna;COLE;22967;Acanthocinus aedilis;3;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:22967;infofauna;COLE;22967;Acanthocinus aedilis;3;2000;NA;NA;NA;250;CH;102;0.2;1
swisslichens:8004;swisslichens;LICH;8004;Acarospora nodulosa;2;1989;NA;NA;NA;250;CH;14;0.2;1
swisslichens:8004;swisslichens;LICH;8004;Acarospora nodulosa;2;1989;NA;NA;NA;250;CH;102;0.2;1
swisslichens:20;swisslichens;LICH;20;Acarospora schleicheri;4;1989;NA;NA;NA;250;CH;14;0.2;1
swisslichens:20;swisslichens;LICH;20;Acarospora schleicheri;4;1989;NA;NA;NA;250;CH;102;0.2;1
nism:490;nism;BRYO;490;Acaulon muticum (Hedw.) Müll.Hal.;2;1984;NA;NA;NA;250;CH;14;0.2;1
nism:490;nism;BRYO;490;Acaulon muticum (Hedw.) Müll.Hal.;2;1984;NA;NA;NA;250;CH;102;0.2;1
nism:492;nism;BRYO;492;Acaulon triquetrum (Spruce) Müll.Hal.;2;1984;NA;NA;NA;250;CH;14;0.2;1
nism:492;nism;BRYO;492;Acaulon triquetrum (Spruce) Müll.Hal.;2;1984;NA;NA;NA;250;CH;102;0.2;1
infoflora:600;infoflora;TRAC;600;Acer opalus Mill.;;2000;NA;NA;NA;250;CH;16;0.2;1
infoflora:600;infoflora;TRAC;600;Acer opalus Mill.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:900;infoflora;TRAC;900;Aceras anthropophorum (L.) W. T. Aiton;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:900;infoflora;TRAC;900;Aceras anthropophorum (L.) W. T. Aiton;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:1200;infoflora;TRAC;1200;Achillea collina Rchb.;4;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:1200;infoflora;TRAC;1200;Achillea collina Rchb.;4;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:2000;infoflora;TRAC;2000;Achillea nobilis L.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:2000;infoflora;TRAC;2000;Achillea nobilis L.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:2200;infoflora;TRAC;2200;Achillea ptarmica L.;4;2000;NA;NA;NA;250;CH;6;0.2;1
infoflora:2200;infoflora;TRAC;2200;Achillea ptarmica L.;4;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:2400;infoflora;TRAC;2400;Achillea setacea Waldst. & Kit.;;2000;NA;NA;NA;250;CH;14;0.2;1
infoflora:2400;infoflora;TRAC;2400;Achillea setacea Waldst. & Kit.;;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:2600;infoflora;TRAC;2600;Achillea tomentosa L.;;2000;NA;NA;NA;250;CH;14;1;1
infoflora:2600;infoflora;TRAC;2600;Achillea tomentosa L.;;2000;NA;NA;NA;250;CH;102;1;1
infofauna:8017;infofauna;MOLL;8017;Acicula lineolata (Pini, 1884);2;2000;NA;NA;NA;250;CH;16;0.2;NPA
infofauna:8017;infofauna;MOLL;8017;Acicula lineolata (Pini, 1884);2;2000;NA;NA;NA;250;CH;102;0.2;NPA
infofauna:21300;infofauna;COLE;21300;Acmaeodera degener;1;2000;NA;NA;NA;250;CH;16;1;1
infofauna:21300;infofauna;COLE;21300;Acmaeodera degener;1;2000;NA;NA;NA;250;CH;102;1;1
infofauna:21301;infofauna;COLE;21301;Acmaeoderella flavofasciata;4;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:21301;infofauna;COLE;21301;Acmaeoderella flavofasciata;4;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:22833;infofauna;COLE;22833;Acmaeops marginatus;3;2000;NA;NA;NA;250;CH;16;0.2;1
infofauna:22833;infofauna;COLE;22833;Acmaeops marginatus;3;2000;NA;NA;NA;250;CH;102;0.2;1
infoflora:3570;infoflora;TRAC;3570;Aconitum napellus subsp. tauricum (Wulfen) Gáyer;3;2000;NA;NA;NA;250;CH;15;0.2;NPA
infoflora:3570;infoflora;TRAC;3570;Aconitum napellus subsp. tauricum (Wulfen) Gáyer;3;2000;NA;NA;NA;250;CH;102;0.2;NPA
infoflora:4400;infoflora;TRAC;4400;Aconitum variegatum L. subsp. variegatum;4;2000;NA;NA;NA;250;CH;8;0.2;1
infoflora:4400;infoflora;TRAC;4400;Aconitum variegatum L. subsp. variegatum;4;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:4700;infoflora;TRAC;4700;Aconitum variegatum subsp. rostratum (DC.) Gáyer;4;2000;NA;NA;NA;250;CH;15;0.2;NPA
infoflora:4700;infoflora;TRAC;4700;Aconitum variegatum subsp. rostratum (DC.) Gáyer;4;2000;NA;NA;NA;250;CH;102;0.2;NPA
vogelwarte:4470;vogelwarte;AVES;4470;Acrocephalus palustris;;2000;NA;NA;NA;250;CH;7;0.2;1
vogelwarte:4470;vogelwarte;AVES;4470;Acrocephalus palustris;;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:26490;infofauna;TRIC;26490;Acrophylax zerberus;4;2000;NA;NA;NA;250;CH;1;0.2;1
infofauna:18322;infofauna;COLEca;18322;Acupalpus brunnipes (Sturm, 1825);2;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18322;infofauna;COLEca;18322;Acupalpus brunnipes (Sturm, 1825);2;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18328;infofauna;COLEca;18328;Acupalpus exiguus;2;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18328;infofauna;COLEca;18328;Acupalpus exiguus;2;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18325;infofauna;COLEca;18325;Acupalpus maculatus (Schaum, 186);3;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18325;infofauna;COLEca;18325;Acupalpus maculatus (Schaum, 186);3;2000;NA;NA;NA;250;CH;101;0.2;1
infofauna:18324;infofauna;COLEca;18324;Acupalpus parvulus;3;2000;NA;NA;NA;250;CH;6;0.2;1
infofauna:18324;infofauna;COLEca;18324;Acupalpus parvulus;3;2000;NA;NA;NA;250;CH;101;0.2;1
infoflora:5300;infoflora;TRAC;5300;Adenophora liliifolia (L.) A. DC.;1;2000;NA;NA;NA;250;CH;15;1;1
infoflora:5300;infoflora;TRAC;5300;Adenophora liliifolia (L.) A. DC.;1;2000;NA;NA;NA;250;CH;102;1;1
infoflora:5700;infoflora;TRAC;5700;Adiantum capillus-veneris L.;4;2000;NA;NA;NA;250;CH;1;0.2;NPA
infofauna:26610;infofauna;TRIC;26610;Adicella filicornis (Pictet, 1834);3;2000;NA;NA;NA;250;CH;1;1;1
infoflora:6200;infoflora;TRAC;6200;Adonis vernalis L.;4;2000;NA;NA;NA;250;CH;14;1;1
infoflora:6200;infoflora;TRAC;6200;Adonis vernalis L.;4;2000;NA;NA;NA;250;CH;102;1;1
infofauna:29304;infofauna;LEPI;29304;Adscita alpina;;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:29304;infofauna;LEPI;29304;Adscita alpina;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:29303;infofauna;LEPI;29303;Adscita dujardini;4;2000;NA;NA;NA;250;CH;15;1;1
infofauna:29303;infofauna;LEPI;29303;Adscita dujardini;4;2000;NA;NA;NA;250;CH;102;1;1
infofauna:29307;infofauna;LEPI;29307;Adscita mannii;2;2000;NA;NA;NA;250;CH;14;1;1
infofauna:29307;infofauna;LEPI;29307;Adscita mannii;2;2000;NA;NA;NA;250;CH;102;1;1
infofauna:29308;infofauna;LEPI;29308;Adscita statices;;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:29308;infofauna;LEPI;29308;Adscita statices;;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:22807;infofauna;COLE;22807;Aegosoma scabricorne;3;2000;NA;NA;NA;250;CH;8;1;1
infofauna:22807;infofauna;COLE;22807;Aegosoma scabricorne;3;2000;NA;NA;NA;250;CH;101;1;1
infofauna:17191;infofauna;ODON;17191;Aeshna caerulea;3;2000;NA;NA;NA;250;CH;6;1;1
infofauna:17191;infofauna;ODON;17191;Aeshna caerulea;3;2000;NA;NA;NA;250;CH;101;1;1
infofauna:17198;infofauna;ODON;17198;Aeshna subarctica;3;2000;NA;NA;NA;250;CH;9;1;1
infofauna:17198;infofauna;ODON;17198;Aeshna subarctica;3;2000;NA;NA;NA;250;CH;101;1;1
swisslichens:6026;swisslichens;LICH;6026;aff. Biatora areolata Kreyer;3;1989;NA;NA;NA;250;CH;16;0.2;NPA
swisslichens:6026;swisslichens;LICH;6026;aff. Biatora areolata Kreyer;3;1989;NA;NA;NA;250;CH;102;0.2;NPA
swisslichens:2965;swisslichens;LICH;2965;aff. Pyrrhospora quernea (Dicks.) Körb.;4;1989;NA;NA;NA;250;CH;16;0.2;NPA
swisslichens:2965;swisslichens;LICH;2965;aff. Pyrrhospora quernea (Dicks.) Körb.;4;1989;NA;NA;NA;250;CH;102;0.2;NPA
infofauna:22975;infofauna;COLE;22975;Agapanthia cardui;3;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:22975;infofauna;COLE;22975;Agapanthia cardui;3;2000;NA;NA;NA;250;CH;102;0.2;1
infofauna:23417;infofauna;COLE;23417;Agapanthia intermedia;;2000;NA;NA;NA;250;CH;14;0.2;1
infofauna:23417;infofauna;COLE;23417;Agapanthia intermedia;;2000;NA;NA;NA;250;CH;102;0.2;1
swissfungi:25;swissfungi;FUNG;25;Agaricus benesii Pilat;4;1985;NA;NA;NA;250;CH;14;1;NPA
swissfungi:25;swissfungi;FUNG;25;Agaricus benesii Pilat;4;1985;NA;NA;NA;250;CH;102;1;NPA
swissfungi:35;swissfungi;FUNG;35;Agaricus campestris;;1985;NA;NA;NA;250;CH;11;0.2;1
swissfungi:38;swissfungi;FUNG;38;Agaricus comtulus;;1985;NA;NA;NA;250;CH;14;1;1
swissfungi:38;swissfungi;FUNG;38;Agaricus comtulus;;1985;NA;NA;NA;250;CH;102;1;1
swissfungi:39;swissfungi;FUNG;39;Agaricus cupreobrunneus;;1985;NA;NA;NA;250;CH;11;0.2;1
swissfungi:54;swissfungi;FUNG;54;Agaricus lanipes (F.H. Moeller et Jul. Schaeff.) Singer;4;1985;NA;NA;NA;250;CH;11;0.2;NPA
