"X","CX","CY","IMS_SWISSCOORDINATE_X","IMS_SWISSCOORDINATE_Y","GUILD","CNHA","BIOIDX","BIOIDX_TX","BIOIDX_TXG","iflor","Category"
21,487250,116850,487252,116845,12,48721168,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
22,487250,116950,487248,116948,12,48721169,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
23,487250,117050,487247,117046,12,48721170,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
24,487250,117150,487256,117148,12,48721171,6,6.18124259260357,6.18124259260357,0.2,"Wertvoll"
30,487350,116750,487356,116746,12,48731167,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
31,487350,116850,487355,116851,12,48731168,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
32,487350,116950,487354,116943,12,48731169,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
33,487350,117050,487353,117045,12,48731170,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
34,487350,117150,487348,117150,12,48731171,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
35,487350,117250,487353,117248,12,48731172,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
46,487450,116750,487452,116746,12,48741167,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
47,487450,116850,487448,116844,12,48741168,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
48,487450,116950,487455,116943,12,48741169,18,18.6204201906561,18.6204201906561,0.6,"Sehr wertvoll"
51,487450,117050,487454,117052,12,48741170,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
52,487450,117250,487449,117246,12,48741172,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
53,487550,112450,487556,112445,12,48751124,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
62,487550,116650,487551,116651,12,48751166,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
63,487550,116750,487552,116746,12,48751167,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
64,487550,116950,487556,116947,12,48751169,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
65,487550,117050,487554,117051,12,48751170,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
66,487550,117350,487555,117342,12,48751173,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
67,487550,118650,487552,118643,12,48751186,6,6.18124259260357,6.18124259260357,0.2,"Wertvoll"
68,487650,111450,487652,111441,12,48761114,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
70,487650,112350,487652,112346,12,48761123,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
71,487650,112450,487653,112442,12,48761124,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
75,487650,113050,487656,113052,12,48761130,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
76,487650,113450,487650,113448,12,48761134,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
77,487650,113550,487652,113549,12,48761135,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
80,487650,116450,487653,116450,12,48761164,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
81,487650,116650,487652,116647,12,48761166,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
82,487650,116750,487650,116747,12,48761167,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
83,487650,116850,487649,116848,12,48761168,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
84,487650,116950,487654,116950,12,48761169,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
85,487650,117050,487649,117044,12,48761170,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
86,487650,117150,487653,117145,12,48761171,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
87,487650,118650,487654,118642,12,48761186,6,6.18124259260357,6.18124259260357,0.2,"Wertvoll"
88,487750,111350,487748,111346,12,48771113,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
89,487750,111550,487755,111547,12,48771115,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
90,487750,111650,487752,111645,12,48771116,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
92,487750,112350,487755,112346,12,48771123,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
95,487750,112950,487751,112944,12,48771129,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
96,487750,113050,487752,113047,12,48771130,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
97,487750,113150,487752,113148,12,48771131,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
98,487750,113250,487756,113245,12,48771132,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
99,487750,113450,487755,113450,12,48771134,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
100,487750,113550,487753,113546,12,48771135,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
102,487750,116450,487749,116448,12,48771164,12,12.4136134604374,12.4136134604374,0.4,"Sehr wertvoll"
104,487750,116550,487752,116550,12,48771165,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
105,487750,116650,487751,116650,12,48771166,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
106,487750,117150,487745,117148,12,48771171,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
107,487750,117450,487752,117448,12,48771174,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
108,487750,117850,487748,117851,12,48771178,6,6.18124259260357,6.18124259260357,0.2,"Wertvoll"
109,487750,117950,487756,117948,12,48771179,6,6.18124259260357,6.18124259260357,0.2,"Wertvoll"
111,487850,111350,487853,111348,12,48781113,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
112,487850,111450,487855,111448,12,48781114,12,12.4542671752314,12.4542671752314,0.4,"Sehr wertvoll"
114,487850,111550,487851,111544,12,48781115,6,6.22713358761569,6.22713358761569,0.2,"Wertvoll"
117,487850,112850,487852,112850,12,48781128,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
118,487850,113050,487845,113046,12,48781130,6,6.20680673021869,6.20680673021869,0.2,"Wertvoll"
119,487850,113150,487856,113145,12,48781131,12,12.4136134604374,12.4136134604374,0.4,"Sehr wertvoll"
