,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
2,486350,111750,486396,111799,22,48631117,4.0,4.206806730218687,4.206806730218687,0.2
4,486450,111650,486479,111648,22,48641116,4.0,4.227133587615686,4.227133587615686,0.2
6,486450,111850,486437,111860,22,48641118,4.0,4.206806730218687,4.206806730218687,0.2
9,486450,111950,486417,111993,22,48641119,4.0,4.206806730218687,4.206806730218687,0.2
21,486550,111650,486531,111608,22,48651116,4.0,4.227133587615686,4.227133587615686,0.2
23,486550,111750,486582,111788,22,48651117,10.0,10.413613460437375,10.413613460437375,1.2
26,486550,112150,486571,112176,22,48651121,4.0,4.206806730218687,4.206806730218687,0.2
110,488050,112050,488020,112030,22,48801120,4.0,4.227133587615686,4.227133587615686,0.2
113,488050,112150,488026,112144,22,48801121,4.0,4.227133587615686,4.227133587615686,0.2
117,488050,112250,488004,112295,22,48801122,9.0,9.620420190656061,9.620420190656061,0.6000000000000001
130,488150,112350,488153,112374,22,48811123,4.0,4.206806730218687,4.206806730218687,0.2
173,488550,112750,488559,112774,22,48851127,4.0,4.206806730218687,4.206806730218687,0.2
177,488550,116950,488554,116961,22,48851169,10.0,10.413613460437375,10.413613460437375,1.2
235,488650,116550,488693,116551,22,48861165,8.0,8.206806730218688,8.206806730218688,1.0
452,489550,112950,489502,112900,22,48951129,4.0,4.413613460437374,4.413613460437374,0.4
480,489750,116350,489745,116387,22,48971163,10.0,10.362485185207138,10.362485185207138,1.2
490,489850,111450,489826,111438,22,48981114,8.0,8.227133587615686,8.227133587615686,1.0
492,489850,116250,489839,116251,22,48981162,8.0,8.181242592603569,8.181242592603569,1.0
500,489950,116150,489923,116160,22,48991161,10.0,10.362485185207138,10.362485185207138,1.2
520,490250,111350,490265,111375,22,49021113,6.0,6.454267175231373,6.454267175231373,0.4
525,490250,114650,490205,114616,22,49021146,8.0,8.200273306556069,8.200273306556069,1.0
531,490350,111450,490325,111430,22,49031114,6.0,6.454267175231373,6.454267175231373,0.4
551,490450,111550,490415,111545,22,49041115,6.0,6.454267175231373,6.454267175231373,0.4
556,490450,113550,490494,113509,22,49041135,8.0,8.600819919668208,8.600819919668208,0.6000000000000001
568,490450,114650,490478,114691,22,49041146,10.0,10.400546613112137,10.400546613112137,1.2
614,490550,111650,490565,111665,22,49051116,6.0,6.454267175231373,6.454267175231373,0.4
618,490550,113550,490508,113593,22,49051135,4.0,4.200273306556069,4.200273306556069,0.2
620,490550,114650,490529,114623,22,49051146,8.0,8.200273306556069,8.200273306556069,1.0
632,490650,114650,490662,114645,22,49061146,8.0,8.200273306556069,8.200273306556069,1.0
671,490750,114650,490724,114630,22,49071146,4.0,4.400546613112138,4.400546613112138,0.4
880,490950,116250,490922,116233,22,49091162,6.0,6.400546613112138,6.400546613112138,0.4
924,491150,113850,491149,113810,22,49111138,4.0,4.400546613112138,4.400546613112138,0.4
1001,491650,117550,491679,117563,22,49161175,4.0,4.200273306556069,4.200273306556069,0.2
1002,491650,117650,491674,117616,22,49161176,4.0,4.200273306556069,4.200273306556069,0.2
1034,492050,117250,492080,117295,22,49201172,8.0,8.600819919668208,4.300409959834104,0.6000000000000001
1043,492050,117350,492085,117301,22,49201173,4.0,4.200273306556069,4.200273306556069,0.2
1044,492050,117550,492062,117543,22,49201175,8.0,8.200273306556069,8.200273306556069,1.0
1047,492150,117150,492140,117190,22,49211171,6.0,6.400546613112138,6.400546613112138,0.4
1050,492150,117250,492160,117205,22,49211172,10.0,10.801093226224276,5.400546613112138,0.8
1058,492150,117350,492150,117355,22,49211173,12.0,12.801093226224276,6.400546613112138,0.8
1065,492150,117450,492122,117420,22,49211174,4.0,4.400546613112138,4.400546613112138,0.4
1078,492450,117250,492485,117235,22,49241172,4.0,4.200273306556069,4.200273306556069,0.2
1101,492550,117250,492516,117275,22,49251172,4.0,4.200273306556069,4.200273306556069,0.2
1116,492650,117250,492651,117256,22,49261172,9.0,9.600819919668208,9.600819919668208,0.6000000000000001
1123,492650,117550,492695,117580,22,49261175,6.0,6.400546613112138,6.400546613112138,0.4
1147,492750,117650,492707,117613,22,49271176,6.0,6.400546613112138,6.400546613112138,0.4
1261,493250,117250,493240,117220,22,49321172,6.0,6.400546613112138,6.400546613112138,0.4
1267,493250,117550,493245,117575,22,49321175,6.0,6.400546613112138,6.400546613112138,0.4
1270,493250,117650,493265,117640,22,49321176,6.0,6.400546613112138,6.400546613112138,0.4
1299,493350,120350,493313,120397,22,49331203,5.0,5.400546613112138,5.400546613112138,0.4
1302,493450,113250,493469,113203,22,49341132,7.0,7.4788959667009784,7.4788959667009784,0.4
1317,493550,113350,493550,113300,22,49351133,7.0,7.4788959667009784,7.4788959667009784,0.4
1328,493650,114450,493691,114422,22,49361144,8.0,8.200273306556069,8.200273306556069,1.0
1331,493650,119950,493652,119982,22,49361199,4.0,4.400546613112138,4.400546613112138,0.4
1333,493650,120050,493649,120028,22,49361200,4.0,4.400546613112138,4.400546613112138,0.4
1353,493850,116950,493817,116997,22,49381169,4.0,4.400546613112138,4.400546613112138,0.4
1394,494150,119750,494179,119796,22,49411197,4.0,4.400546613112138,4.400546613112138,0.4
1405,494250,119850,494278,119809,22,49421198,6.0,6.600819919668208,6.600819919668208,0.6000000000000001
1448,494550,114850,494513,114866,22,49451148,8.0,8.200273306556069,8.200273306556069,1.0
