"","group","speciesCODE","weight","prop_area_ha","Contribution"
"1","AMPH","Salamandra salamandra",1,3505,10.7058859464248
"2","AMPH","Rana temporaria",1,6087,18.592504352607
"3","AMPH","Bombina variegata",1,688,2.10146919576041
"4","AMPH","Bufo bufo",1,1816,5.54690124927457
"5","REPT","Natrix helvetica",1,4161,12.709612388894
"6","CHIR","Myotis daubentonii",1,580,1.77158740340267
"7","AMPH","Triturus carnifex",1,4,0.0122178441613977
"8","AMPH","Alytes obstetricans",1,564,1.72271602675708
"9","AMPH","Pelophylax esculentus",1,436,1.33174501359235
"10","AMPH","Ichthyosaura alpestris",1,1272,3.88527444332448
"11","AMPH","Lissotriton helveticus",1,91,0.277955954671798
"12","MAMM","Mustela putorius",1,1469,4.48700326827331
"13","REPT","Natrix maura",1,38,0.116069519533278
"14","AMPH","Epidalea calamita",1,445,1.3592351629555
"15","REPT","Natrix natrix",1,281,0.85830355233819
"16","AMPH","Rana dalmatina",1,63,0.192431045542014
"17","AMPH","Triturus cristatus",1,28,0.0855249091297841
"18","MAMM","Neomys fodiens",1,183,0.558966370383946
"19","AMPH","Lissotriton vulgaris",1,37,0.113015058492929
"20","AMPH","Hyla arborea",1,456,1.39283423439934
"21","REPT","Natrix tessellata",1,182,0.555911909343596
"22","MAMM","Neomys anomalus",1,28,0.0855249091297841
"23","AMPH","Hyla intermedia",1,15,0.0458169156052415
"24","AMPH","Rana latastei",1,6,0.0183267662420966
