,speciesCODE,spName,Contribution,colCode
0,infofauna:17040,Epeorus assimilis [EPHE],0.17634254539442867,#311165
0,infofauna:17303,Brachyptera risi [PLEC],0.22593888628661174,#311165
0,infofauna:70012,Salmo trutta [PISC],16.672636596588873,#fcfdbf
0,infofauna:70051,Telestes souffia [PISC],0.052351693163971015,#311165
0,infofauna:70101,Salamandra salamandra [AMPH],15.766125699170638,#fcfdbf
0,infofauna:17154,Calopteryx virgo [ODON],2.049982090210233,#912b81
0,infofauna:17213,Onychogomphus forcipatus [ODON],0.7108808861212906,#311165
0,infofauna:17221,Cordulegaster boltonii [ODON],1.587082908549858,#621980
0,infoflora:148000,Epilobium dodonaei [TRAC],0.14052296586118534,#311165
0,infoflora:205000,Hieracium staticifolium [TRAC],0.2975780453530984,#311165
0,infofauna:17016,Caenis beskidensis [EPHE],0.03030887498966743,#311165
0,infofauna:17029,Ecdyonurus dispar [EPHE],0.04959634089218306,#311165
0,infofauna:17034,Ecdyonurus torrentis [EPHE],0.12950155677403358,#311165
0,infofauna:17319,Nemoura flexuosa [PLEC],0.04408563634860717,#311165
0,infofauna:70081,Cottus gobio [PISC],0.746700465654534,#311165
0,nism:272,Mesoptychia  [BRYO],0.03581957953324333,#311165
0,infofauna:70022,Thymallus thymallus [PISC],0.2176728294712479,#311165
0,infofauna:17212,Gomphus vulgatissimus [ODON],0.35819579533243323,#311165
0,infofauna:18107,Perileptus areolatus [COLEca],0.01653211363072769,#311165
0,infofauna:18181,Bembidion latinum [COLEca],0.5097401702807705,#311165
0,infofauna:18515,Chlaenius festivus [COLEca],0.002755352271787948,#311165
0,infoflora:381900,Scrophularia canina [TRAC],0.06612845452291076,#311165
0,infofauna:70110,Alytes obstetricans [AMPH],6.006667952497727,#ec5860
0,infofauna:18162,Bembidion tibiale [COLEca],0.09919268178436612,#311165
0,infofauna:18167,Bembidion atrocaeruleum [COLEca],0.002755352271787948,#311165
0,infoflora:388300,Senecio erraticus [TRAC],0.316865511255614,#311165
0,swissfungi:5501,Phellinus hippophaeicola [FUNG],0.0799052158818505,#311165
0,infofauna:17263,Onychogomphus forcipatus [ODON],0.2176728294712479,#311165
0,swissfungi:5091,Omphalina pyxidata [FUNG],0.13225690904582152,#311165
0,vogelwarte:5050,Motacilla cinerea [AVES],0.3030887498966743,#311165
0,swissfungi:5098,Omphalina velutipes [FUNG],0.002755352271787948,#311165
0,infoflora:151300,Equisetum ramosissimum [TRAC],0.04408563634860717,#311165
0,swissfungi:12076,Geopora arenicola [FUNG],0.022042818174303584,#311165
0,swissfungi:614,Bovista pusilla [FUNG],0.0743945113382746,#311165
0,infoflora:319300,Potamogeton nodosus [TRAC],0.5097401702807705,#311165
0,infofauna:17177,Coenagrion mercuriale [ODON],0.6144435566087124,#311165
0,infoflora:363900,Salix daphnoides [TRAC],0.11021409087151793,#311165
0,infofauna:17379,Capnia nigra [PLEC],0.01653211363072769,#311165
0,infofauna:59445,Halictus confusus [APID],0.013776761358939741,#311165
0,nism:1073,Cinclidotus aquaticus [BRYO],0.13225690904582152,#311165
0,infofauna:14502,Austropotamobius pallipes [CRUS],1.2013335904995452,#621980
0,infoflora:440100,Veronica acinifolia [TRAC],0.03581957953324333,#311165
0,vogelwarte:3970,Cinclus cinclus [AVES],20.240817788554267,#fcfdbf
0,swisslichens:414,Cladonia rei [LICH],0.005510704543575896,#311165
0,infoflora:157100,Erucastrum nasturtiifolium [TRAC],0.15154437494833714,#311165
0,swisslichens:366,Cladonia cariosa [LICH],0.03857493180503127,#311165
0,swisslichens:380,Cladonia ciliata [LICH],0.10194803405615409,#311165
0,infofauna:18108,Thalassophilus longicornis [COLEca],0.02479817044609153,#311165
0,infofauna:18171,Bembidion ascendens [COLEca],0.019287465902515635,#311165
0,infofauna:18198,Bembidion decorum [COLEca],0.055107045435758964,#311165
0,swissfungi:320,Arrhenia auriscalpium [FUNG],0.0,#311165
0,infofauna:30989,Proserpinus proserpina [LEPI],0.15705507949191305,#311165
0,infofauna:59360,Lasioglossum limbellum [APID],0.06061774997933486,#311165
0,infofauna:17321,Nemoura marginata [PLEC],0.09092662496900228,#311165
0,infofauna:17338,Protonemura nitida [PLEC],0.10470338632794203,#311165
0,infofauna:17339,Protonemura praecox [PLEC],0.01653211363072769,#311165
0,swissfungi:7454,Verpa bohemica [FUNG],0.11848014768688177,#311165
0,vogelwarte:1920,Charadrius dubius [AVES],0.9423304769514782,#311165
0,infofauna:26318,Rhyacophila pubescens [TRIC],0.08266056815363844,#311165
0,infofauna:26325,Rhyacophila vulgaris [TRIC],0.06061774997933486,#311165
0,infofauna:26391,Philopotamus ludificatus [TRIC],0.10470338632794203,#311165
0,infofauna:26512,Chaetopteryx gessneri [TRIC],0.005510704543575896,#311165
0,infofauna:26538,Halesus digitatus [TRIC],0.03306422726145538,#311165
0,infofauna:26542,Hydatophylax infumatus [TRIC],0.0,#311165
0,infofauna:26581,Micropterna nycterobia [TRIC],0.019287465902515635,#311165
0,infoflora:73000,Callitriche cophocarpa [TRAC],0.18185324993800456,#311165
0,infofauna:17388,Isoperla grammatica [PLEC],0.14052296586118534,#311165
0,infoflora:71200,Calamagrostis pseudophragmites [TRAC],0.23696029537376354,#311165
0,infofauna:17217,Ophiogomphus cecilia [ODON],0.8155842724492327,#311165
0,infofauna:18521,Chlaenius olivieri [COLEca],0.0,#311165
0,infofauna:59392,Lasioglossum sexstrigatum [APID],0.10194803405615409,#311165
0,infoflora:318300,Potamogeton coloratus [TRAC],0.4050367839528284,#311165
0,infofauna:31901,Cerura vinula [LEPI],0.2948226930813104,#311165
0,infofauna:70013,Salmo trutta [PISC],0.10745873859972997,#311165
0,infofauna:17405,Perla marginata [PLEC],0.019287465902515635,#311165
0,infofauna:17088,Habrophlebia eldae [EPHE],0.04133028407681922,#311165
0,infofauna:17063,Rhithrogena allobrogica [EPHE],0.02479817044609153,#311165
0,infofauna:17082,Rhithrogena semicolorata [EPHE],0.09643732951257818,#311165
0,nism:1817,Philonotis calcarea [BRYO],0.09643732951257818,#311165
0,infofauna:59349,Lasioglossum intermedium [APID],0.011021409087151792,#311165
0,swissfungi:1786,Cortinarius pulchripes [FUNG],0.008266056815363845,#311165
0,infofauna:26519,Drusus annulatus [TRIC],0.04959634089218306,#311165
0,infoflora:132500,Dactylorhiza lapponica [TRAC],2.87383241947483,#912b81
0,infofauna:17393,Isoperla rivulorum [PLEC],0.2176728294712479,#311165
0,infofauna:70032,Alburnoides bipunctatus [PISC],0.26451381809164304,#311165
0,infoflora:73500,Callitriche stagnalis [TRAC],0.0,#311165
